city,state,latitude,longitude,region,date_utc,time_utc,year,month,day,temp,weather_condition,humidity_percent,visibility_Feet,wind_speed_MPH,pressure_hPa
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-01,N/A,1945,1,1,40,Fog-Rain,85,15840,15,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-02,N/A,1945,1,2,22,,47,31680,26,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-03,N/A,1945,1,3,30,,54,31680,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-04,N/A,1945,1,4,40,,59,26400,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-05,N/A,1945,1,5,34,,50,31680,19,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-06,N/A,1945,1,6,28,,58,21120,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-07,N/A,1945,1,7,28,Fog-Rain-Snow,88,21120,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-08,N/A,1945,1,8,31,Fog-Rain,93,21120,6,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-09,N/A,1945,1,9,30,Fog,70,21120,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-10,N/A,1945,1,10,20,,51,31680,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-11,N/A,1945,1,11,24,Snow,58,26400,10,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-12,N/A,1945,1,12,32,Rain,72,31680,13,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-13,N/A,1945,1,13,36,Fog-Rain-Snow,93,26400,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-14,N/A,1945,1,14,32,Fog-Snow,86,15840,9,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-15,N/A,1945,1,15,30,Rain-Snow,83,21120,8,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-16,N/A,1945,1,16,33,Rain-Snow,90,21120,16,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-17,N/A,1945,1,17,32,,60,36960,23,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-18,N/A,1945,1,18,26,,40,26400,11,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-19,N/A,1945,1,19,32,,56,21120,5,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-20,N/A,1945,1,20,32,Snow,58,21120,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-21,N/A,1945,1,21,30,,63,31680,6,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-22,N/A,1945,1,22,32,Fog-Rain,85,21120,7,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-23,N/A,1945,1,23,36,,59,31680,21,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-24,N/A,1945,1,24,28,,57,31680,25,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-25,N/A,1945,1,25,15,,38,36960,21,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-26,N/A,1945,1,26,20,Snow,47,31680,14,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-27,N/A,1945,1,27,26,,43,36960,18,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-28,N/A,1945,1,28,32,Rain,59,36960,5,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-29,N/A,1945,1,29,32,Rain-Snow,65,26400,17,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-30,N/A,1945,1,30,31,,52,31680,16,N/A
Baltimore,MD,39.2904, -76.609383,Northeast,1945-01-31,N/A,1945,1,31,22,,49,36960,31,N/A
