city,state,region,date,year,month,day,temp
Bismarck,ND,Northern Rockies and Plains,1/1/2000,2000,1,1,27
Bismarck,ND,Northern Rockies and Plains,1/2/2000,2000,1,2,21
Bismarck,ND,Northern Rockies and Plains,1/3/2000,2000,1,3,17
Bismarck,ND,Northern Rockies and Plains,1/4/2000,2000,1,4,17
Bismarck,ND,Northern Rockies and Plains,1/5/2000,2000,1,5,33
Bismarck,ND,Northern Rockies and Plains,1/6/2000,2000,1,6,19
Bismarck,ND,Northern Rockies and Plains,1/7/2000,2000,1,7,42
Bismarck,ND,Northern Rockies and Plains,1/8/2000,2000,1,8,43
Bismarck,ND,Northern Rockies and Plains,1/9/2000,2000,1,9,39
Bismarck,ND,Northern Rockies and Plains,1/10/2000,2000,1,10,33
Bismarck,ND,Northern Rockies and Plains,1/11/2000,2000,1,11,7
Bismarck,ND,Northern Rockies and Plains,1/12/2000,2000,1,12,8
Bismarck,ND,Northern Rockies and Plains,1/13/2000,2000,1,13,19
Bismarck,ND,Northern Rockies and Plains,1/14/2000,2000,1,14,24
Bismarck,ND,Northern Rockies and Plains,1/15/2000,2000,1,15,21
Bismarck,ND,Northern Rockies and Plains,1/16/2000,2000,1,16,10
Bismarck,ND,Northern Rockies and Plains,1/17/2000,2000,1,17,46
Bismarck,ND,Northern Rockies and Plains,1/18/2000,2000,1,18,35
Bismarck,ND,Northern Rockies and Plains,1/19/2000,2000,1,19,12
Bismarck,ND,Northern Rockies and Plains,1/20/2000,2000,1,20,17
Bismarck,ND,Northern Rockies and Plains,1/21/2000,2000,1,21,28
Bismarck,ND,Northern Rockies and Plains,1/22/2000,2000,1,22,23
Bismarck,ND,Northern Rockies and Plains,1/23/2000,2000,1,23,21
Bismarck,ND,Northern Rockies and Plains,1/24/2000,2000,1,24,24
Bismarck,ND,Northern Rockies and Plains,1/25/2000,2000,1,25,24
Bismarck,ND,Northern Rockies and Plains,1/26/2000,2000,1,26,27
Bismarck,ND,Northern Rockies and Plains,1/27/2000,2000,1,27,32
Bismarck,ND,Northern Rockies and Plains,1/28/2000,2000,1,28,30
Bismarck,ND,Northern Rockies and Plains,1/29/2000,2000,1,29,26
Bismarck,ND,Northern Rockies and Plains,1/30/2000,2000,1,30,27
Bismarck,ND,Northern Rockies and Plains,1/31/2000,2000,1,31,26
Bismarck,ND,Northern Rockies and Plains,2/1/2000,2000,2,1,27
Bismarck,ND,Northern Rockies and Plains,2/2/2000,2000,2,2,48
Bismarck,ND,Northern Rockies and Plains,2/3/2000,2000,2,3,34
Bismarck,ND,Northern Rockies and Plains,2/4/2000,2000,2,4,35
Bismarck,ND,Northern Rockies and Plains,2/5/2000,2000,2,5,32
Bismarck,ND,Northern Rockies and Plains,2/6/2000,2000,2,6,42
Bismarck,ND,Northern Rockies and Plains,2/7/2000,2000,2,7,37
Bismarck,ND,Northern Rockies and Plains,2/8/2000,2000,2,8,60
Bismarck,ND,Northern Rockies and Plains,2/9/2000,2000,2,9,30
Bismarck,ND,Northern Rockies and Plains,2/10/2000,2000,2,10,10
Bismarck,ND,Northern Rockies and Plains,2/11/2000,2000,2,11,12
Bismarck,ND,Northern Rockies and Plains,2/12/2000,2000,2,12,17
Bismarck,ND,Northern Rockies and Plains,2/13/2000,2000,2,13,14
Bismarck,ND,Northern Rockies and Plains,2/14/2000,2000,2,14,21
Bismarck,ND,Northern Rockies and Plains,2/15/2000,2000,2,15,18
Bismarck,ND,Northern Rockies and Plains,2/16/2000,2000,2,16,18
Bismarck,ND,Northern Rockies and Plains,2/17/2000,2000,2,17,21
Bismarck,ND,Northern Rockies and Plains,2/18/2000,2000,2,18,19
Bismarck,ND,Northern Rockies and Plains,2/19/2000,2000,2,19,28
Bismarck,ND,Northern Rockies and Plains,2/20/2000,2000,2,20,30
Bismarck,ND,Northern Rockies and Plains,2/21/2000,2000,2,21,42
Bismarck,ND,Northern Rockies and Plains,2/22/2000,2000,2,22,23
Bismarck,ND,Northern Rockies and Plains,5/3/2000,2000,5,3,77
Bismarck,ND,Northern Rockies and Plains,5/4/2000,2000,5,4,82
Bismarck,ND,Northern Rockies and Plains,5/5/2000,2000,5,5,86
Bismarck,ND,Northern Rockies and Plains,5/6/2000,2000,5,6,70
Bismarck,ND,Northern Rockies and Plains,5/7/2000,2000,5,7,62
Bismarck,ND,Northern Rockies and Plains,5/8/2000,2000,5,8,64
Bismarck,ND,Northern Rockies and Plains,5/9/2000,2000,5,9,69
Bismarck,ND,Northern Rockies and Plains,5/10/2000,2000,5,10,72
Bismarck,ND,Northern Rockies and Plains,5/11/2000,2000,5,11,57
Bismarck,ND,Northern Rockies and Plains,5/12/2000,2000,5,12,45
Bismarck,ND,Northern Rockies and Plains,5/13/2000,2000,5,13,59
Bismarck,ND,Northern Rockies and Plains,5/14/2000,2000,5,14,66
Bismarck,ND,Northern Rockies and Plains,5/15/2000,2000,5,15,59
Bismarck,ND,Northern Rockies and Plains,5/16/2000,2000,5,16,69
Bismarck,ND,Northern Rockies and Plains,5/17/2000,2000,5,17,60
Bismarck,ND,Northern Rockies and Plains,5/18/2000,2000,5,18,60
Bismarck,ND,Northern Rockies and Plains,5/19/2000,2000,5,19,77
Bismarck,ND,Northern Rockies and Plains,5/20/2000,2000,5,20,70
Bismarck,ND,Northern Rockies and Plains,5/21/2000,2000,5,21,80
Bismarck,ND,Northern Rockies and Plains,5/22/2000,2000,5,22,81
Bismarck,ND,Northern Rockies and Plains,5/23/2000,2000,5,23,77
Bismarck,ND,Northern Rockies and Plains,5/24/2000,2000,5,24,68
Bismarck,ND,Northern Rockies and Plains,5/25/2000,2000,5,25,71
Bismarck,ND,Northern Rockies and Plains,5/26/2000,2000,5,26,72
Bismarck,ND,Northern Rockies and Plains,5/27/2000,2000,5,27,73
Bismarck,ND,Northern Rockies and Plains,5/28/2000,2000,5,28,75
Bismarck,ND,Northern Rockies and Plains,5/29/2000,2000,5,29,66
Bismarck,ND,Northern Rockies and Plains,5/30/2000,2000,5,30,72
Bismarck,ND,Northern Rockies and Plains,5/31/2000,2000,5,31,60
