city,state,region,date,year,month,day,temp
Grand Lake,CO,Southwest,1/1/2000,2000,1,1,33
Grand Lake,CO,Southwest,1/2/2000,2000,1,2,43
Grand Lake,CO,Southwest,1/3/2000,2000,1,3,28
Grand Lake,CO,Southwest,1/4/2000,2000,1,4,29
Grand Lake,CO,Southwest,1/5/2000,2000,1,5,25
Grand Lake,CO,Southwest,1/6/2000,2000,1,6,20
Grand Lake,CO,Southwest,1/7/2000,2000,1,7,31
Grand Lake,CO,Southwest,1/8/2000,2000,1,8,32
Grand Lake,CO,Southwest,1/9/2000,2000,1,9,30
Grand Lake,CO,Southwest,1/10/2000,2000,1,10,26
Grand Lake,CO,Southwest,1/11/2000,2000,1,11,39
Grand Lake,CO,Southwest,1/12/2000,2000,1,12,35
Grand Lake,CO,Southwest,1/13/2000,2000,1,13,38
Grand Lake,CO,Southwest,1/14/2000,2000,1,14,48
Grand Lake,CO,Southwest,1/15/2000,2000,1,15,48
Grand Lake,CO,Southwest,1/16/2000,2000,1,16,47
Grand Lake,CO,Southwest,1/17/2000,2000,1,17,45
Grand Lake,CO,Southwest,1/18/2000,2000,1,18,39
Grand Lake,CO,Southwest,1/19/2000,2000,1,19,39
Grand Lake,CO,Southwest,1/20/2000,2000,1,20,43
Grand Lake,CO,Southwest,1/21/2000,2000,1,21,39
Grand Lake,CO,Southwest,1/22/2000,2000,1,22,33
Grand Lake,CO,Southwest,1/23/2000,2000,1,23,30
Grand Lake,CO,Southwest,1/24/2000,2000,1,24,26
Grand Lake,CO,Southwest,1/25/2000,2000,1,25,32
Grand Lake,CO,Southwest,1/26/2000,2000,1,26,42
Grand Lake,CO,Southwest,1/27/2000,2000,1,27,33
Grand Lake,CO,Southwest,1/28/2000,2000,1,28,21
Grand Lake,CO,Southwest,1/29/2000,2000,1,29,15
Grand Lake,CO,Southwest,1/30/2000,2000,1,30,27
Grand Lake,CO,Southwest,1/31/2000,2000,1,31,36
Grand Lake,CO,Southwest,2/1/2000,2000,2,1,32
Grand Lake,CO,Southwest,2/2/2000,2000,2,2,42
Grand Lake,CO,Southwest,2/3/2000,2000,2,3,46
Grand Lake,CO,Southwest,2/4/2000,2000,2,4,44
Grand Lake,CO,Southwest,2/5/2000,2000,2,5,40
Grand Lake,CO,Southwest,2/6/2000,2000,2,6,43
Grand Lake,CO,Southwest,2/7/2000,2000,2,7,42
Grand Lake,CO,Southwest,2/8/2000,2000,2,8,47
Grand Lake,CO,Southwest,2/9/2000,2000,2,9,46
Grand Lake,CO,Southwest,2/10/2000,2000,2,10,40
Grand Lake,CO,Southwest,2/11/2000,2000,2,11,35
Grand Lake,CO,Southwest,2/12/2000,2000,2,12,36
Grand Lake,CO,Southwest,2/13/2000,2000,2,13,30
Grand Lake,CO,Southwest,2/14/2000,2000,2,14,36
Grand Lake,CO,Southwest,2/15/2000,2000,2,15,39
Grand Lake,CO,Southwest,2/16/2000,2000,2,16,39
Grand Lake,CO,Southwest,2/17/2000,2000,2,17,37
Grand Lake,CO,Southwest,2/18/2000,2000,2,18,33
