city,state,region,date,year,month,day,temp
Minneapolis,MN,Upper Midwest,1/1/2000,2000,1,1,35
Minneapolis,MN,Upper Midwest,1/2/2000,2000,1,2,35
Minneapolis,MN,Upper Midwest,1/3/2000,2000,1,3,29
Minneapolis,MN,Upper Midwest,1/4/2000,2000,1,4,25
Minneapolis,MN,Upper Midwest,1/5/2000,2000,1,5,30
Minneapolis,MN,Upper Midwest,1/6/2000,2000,1,6,29
Minneapolis,MN,Upper Midwest,1/7/2000,2000,1,7,24
Minneapolis,MN,Upper Midwest,1/8/2000,2000,1,8,38
Minneapolis,MN,Upper Midwest,1/9/2000,2000,1,9,36
Minneapolis,MN,Upper Midwest,1/10/2000,2000,1,10,36
Minneapolis,MN,Upper Midwest,1/11/2000,2000,1,11,32
Minneapolis,MN,Upper Midwest,1/12/2000,2000,1,12,13
Minneapolis,MN,Upper Midwest,1/13/2000,2000,1,13,19
Minneapolis,MN,Upper Midwest,1/14/2000,2000,1,14,28
Minneapolis,MN,Upper Midwest,1/15/2000,2000,1,15,35
Minneapolis,MN,Upper Midwest,1/16/2000,2000,1,16,18
Minneapolis,MN,Upper Midwest,1/17/2000,2000,1,17,28
Minneapolis,MN,Upper Midwest,1/18/2000,2000,1,18,29
Minneapolis,MN,Upper Midwest,1/19/2000,2000,1,19,15
Minneapolis,MN,Upper Midwest,1/20/2000,2000,1,20,6
Minneapolis,MN,Upper Midwest,1/21/2000,2000,1,21,7
Minneapolis,MN,Upper Midwest,1/22/2000,2000,1,22,22
Minneapolis,MN,Upper Midwest,1/23/2000,2000,1,23,8
Minneapolis,MN,Upper Midwest,1/24/2000,2000,1,24,21
Minneapolis,MN,Upper Midwest,1/25/2000,2000,1,25,20
Minneapolis,MN,Upper Midwest,1/26/2000,2000,1,26,16
Minneapolis,MN,Upper Midwest,1/27/2000,2000,1,27,17
Minneapolis,MN,Upper Midwest,1/28/2000,2000,1,28,22
Minneapolis,MN,Upper Midwest,1/29/2000,2000,1,29,26
Minneapolis,MN,Upper Midwest,1/30/2000,2000,1,30,28
Minneapolis,MN,Upper Midwest,1/31/2000,2000,1,31,29
Minneapolis,MN,Upper Midwest,2/1/2000,2000,2,1,28
Minneapolis,MN,Upper Midwest,2/2/2000,2000,2,2,37
Minneapolis,MN,Upper Midwest,2/3/2000,2000,2,3,37
Minneapolis,MN,Upper Midwest,2/4/2000,2000,2,4,29
Minneapolis,MN,Upper Midwest,2/5/2000,2000,2,5,32
Minneapolis,MN,Upper Midwest,2/6/2000,2000,2,6,35
Minneapolis,MN,Upper Midwest,2/7/2000,2000,2,7,27
Minneapolis,MN,Upper Midwest,2/8/2000,2000,2,8,42
Minneapolis,MN,Upper Midwest,2/9/2000,2000,2,9,38
Minneapolis,MN,Upper Midwest,2/10/2000,2000,2,10,31
